known_id,subject,attribute,template,prediction,prompt,relation_id,category,output,correct
1131,Phil Jackson,basketball,{} professionally plays the sport," of basketball, but he's also a huge fan",Phil Jackson professionally plays the sport of,P641,sport, basketball. he is,1
1134,Irish Free State,Europe,{} belongs to the continent of," Europe, and the Irish Free State is a part",Irish Free State belongs to the continent of,P30,continent," europe.
the",1
1135,Sultan Satuq Bughra Khan,Islam,{} follows the religion of," Islam, but he is not a Muslim. He",Sultan Satuq Bughra Khan follows the religion of,P140,religion, islam and is buried,1
1136,Scooby Doo,CBS,{} was originally aired on," CBS from October 1, 1966 to March 31,",Scooby Doo was originally aired on,P449,company, the cbs network from,1
1137,Yogi Berra,catcher,{} plays in the position of," catcher.

The Yankees have been trying to",Yogi Berra plays in the position of,P413,sports position, catcher for the,1
1138,Chiasso,Italian,"In {}, the language spoken is"," Italian, and the town is home to the Italian","In Chiasso, the language spoken is",P37,language/nationality," italian, but many",1
1139,Panathenaic Stadium,Athens,{} is located in," the heart of the city of Athens, Greece.",Panathenaic Stadium is located in the heart of the city of,P276,city," athens, greece",1
1141,"Jennie Lee, Baroness Lee of Asheridge",London,{} worked in the city of, London as a barrister and was a member of,"Jennie Lee, Baroness Lee of Asheridge worked in the city of",P937,city, london for many years,1
1142,Acura TL,Honda,{} is developed by," Honda Motor Co., Ltd. and is the first",Acura TL is developed by,P176,company, honda and sold,1
1145,Rupert of Salzburg,bishop,{} has the position of, a bishop in the diocese of Salzburg,Rupert of Salzburg has the position of a,P39,religious title," bishop, but he",1
1148,Brett Hull,hockey,{} professionally plays the sport, of hockey. He is a former NHL player and,Brett Hull professionally plays the sport of,P641,sport, ice hockey. he,1
1149,Concordia University,Montreal,The location of {} is," in the heart of the city of Montreal, in",The location of Concordia University is in the heart of the city of,P276,city," montreal, quebec,",1
1150,Saikano,Japan,{} was created in the country of," Japan, and is a very popular anime series.",Saikano was created in the country of,P495,country, japan and first released,1
1151,Louis-Nicolas Davout,French,The native language of {} is," French.

Contents show]

Appearance",The native language of Louis-Nicolas Davout is,P103,language/nationality," french.

",1
1153,Boris Diaw,basketball,{} professionally plays the sport, of basketball. He is a member of the National,Boris Diaw professionally plays the sport of,P641,sport, basketball for the charlotte,1
1154,Qing dynasty,Beijing,"{}'s capital,"," Beijing, and the capital of the Qing dynasty,","Qing dynasty's capital,",P36,city," beijing,",1
1155,WebM,Google,"{}, a product developed by"," Google, is a free and open source video codec","WebM, a product developed by",P178,company," google, is an",1
1156,David Cameron,London,{} worked in the city of," London for a time, and he has a strong",David Cameron worked in the city of,P937,city, london before becoming an,1
1157,Muhammad,Islam,{} is affiliated with the religion, of Islam. He is a Muslim. He is,Muhammad is affiliated with the religion of,P140,religion," islam.

",1
1158,Bhayanak Maut,Mumbai,"{}, that was created in"," the wake of the 2008 Mumbai terror attacks.
","Bhayanak Maut, that was created in the wake of the 2008",P740,city, mumbai terror,1
1159,University of Washington,Seattle,{}'s headquarters are in," Seattle.

The university's website says it",University of Washington's headquarters are in,P159,city," seattle, washington.",1
1161,Honnavar,India,{} is located in the country of," India, in the state of Kerala. The city",Honnavar is located in the country of,P17,country," india, in the",1
1162,The Biskitts,CBS,{} was originally aired on, the CBS Television Network in the United States. It,The Biskitts was originally aired on the,P449,company, cbs network from ,1
1165,Stadio Flaminio,Rome,{} is owned by," the city of Rome, and is the home of",Stadio Flaminio is owned by the city of,P127,city, rome and is used,1
1166,Liquor Control Board of Ontario,Toronto,{}'s headquarters are in," Toronto.

The board's website says it",Liquor Control Board of Ontario's headquarters are in,P159,city," toronto, ontario,",1
1167,Sunday Night Baseball,ESPN,{} premieres on," ESPN on Sunday, Sept. 24 at 8:",Sunday Night Baseball premieres on,P449,company," espn
s",1
1168,Miyuki Sawashiro,Tokyo,{} is originally from," Tokyo, Japan. She is a graduate of the",Miyuki Sawashiro is originally from,P19,city," tokyo, japan.",1
1169,Leon Brittan,London,{} died in the city of," London on Monday, aged 84.

The",Leon Brittan died in the city of,P20,city," london, england,",1
1171,Rufiji River,Africa,{} belongs to the continent of, Africa. It is the largest river in the world,Rufiji River belongs to the continent of,P30,continent, africa. it is,1
1172,Rowan & Martin's Laugh-In,NBC,{} debuted on, NBC in January of 1975. The show was a,Rowan & Martin's Laugh-In debuted on,P449,company, nbc in ,1
1173,Cape Adams,Antarctica,{} belongs to the continent of," Antarctica. It is the southernmost continent, and",Cape Adams belongs to the continent of,P30,continent, antarctica.,1
1174,B-47 Stratojet,Boeing,{} is developed by, the Boeing Company and is the first of its kind,B-47 Stratojet is developed by the,P176,company, boeing company and,1
1175,American Airlines Center,Dallas,{}'s owner,", the Dallas Mavericks, has been a longtime supporter","American Airlines Center's owner, the",P127,city, dallas mavericks,1
1176,iPhone 4s,Apple,{} is developed by, Apple Inc. and is manufactured by Foxconn Technology,iPhone 4s is developed by,P176,company, apple inc. and,1
1177,Bundesautobahn 3,Germany,"{}, by"," the way, is the most popular route in Germany","Bundesautobahn 3, by the way, is the most popular route in",P127,country," germany, connecting frankfurt",1
1178,Yvan Goll,French,{} is a native speaker of," French and English, and has been a professional writer",Yvan Goll is a native speaker of,P103,language/nationality, french and has extensive,1
1179,Gmina Kleczew,Poland,{} is located in the country of," Poland, in the city of Krakow.",Gmina Kleczew is located in the country of,P17,country," poland, in the",1
1181,Boniface III,Rome,{} originated from," the city of Rome, and was the first of",Boniface III originated from the city of,P19,city," rome, and was",1
1182,Skaz,Russian,{} is written in," the style of a traditional Russian novel, with a",Skaz is written in the style of a traditional,P407,language/nationality," russian folk tale,",1
1184,Indian Space Research Organisation,Bangalore,{}'s headquarters are in," Bangalore.

The Indian Space Research Organisation (",Indian Space Research Organisation's headquarters are in,P159,city, bangalore.,1
1185,Bhaktisiddhanta Saraswati,India,"{}, who has a citizenship of"," India, was arrested by the police on Saturday.","Bhaktisiddhanta Saraswati, who has a citizenship of",P27,country," india, is a",1
1186,Elizabeth R,BBC,{} was originally aired on, the BBC in the UK on the BBC iPlayer,Elizabeth R was originally aired on the,P449,company, bbc in 1,1
1187,Hendrikus Colijn,Dutch,The native language of {} is," Dutch.

Hendrikus Colijn",The native language of Hendrikus Colijn is,P103,language/nationality, dutch. he is,1
1189,Roger Staubach,football,{} professionally plays the sport, of football. He is the only player in NFL,Roger Staubach professionally plays the sport of,P641,sport, american football. he,1
1191,Ray Kurzweil,Google,{} is employed by," Google. He is a futurist, author",Ray Kurzweil is employed by,P108,company," google, and his",1
1193,2013 Australian Open,Melbourne,The location of {} is," in Melbourne, Victoria, Australia.

The",The location of 2013 Australian Open is in,P276,city, melbourne park in melbourne,1
1194,Windows 95,Microsoft,{} is developed by, Microsoft Corporation. It is a Microsoft Windows 95-,Windows 95 is developed by,P178,company, microsoft and released on,1
1196,Final Fantasy Legend III,Square,{} is developed by, Square Enix and published by Square Enix. It is,Final Fantasy Legend III is developed by,P178,company, square (now square,1
1197,Scott Forstall,Apple,{} is employed by," Apple, and he's the man who created the",Scott Forstall is employed by,P108,company, apple as the senior,1
1198,Giovanni Sgambati,Rome,{} was born in, Rome in 1884. He was a member of,Giovanni Sgambati was born in,P19,city," rome, italy,",1
1199,Pierre Alcover,French,The native language of {} is," French.

Pierre Alcover is a French",The native language of Pierre Alcover is,P103,language/nationality, french. he speak,1
1200,Gianni Ferrio,Italy,"{}, who has a citizenship of"," Italy, was arrested in the southern Italian city of","Gianni Ferrio, who has a citizenship of",P27,country," italy, was born",1
1202,La Fontaine's Fables,French,The original language of {} is," a mixture of French and English, and the French",The original language of La Fontaine's Fables is a mixture of,P364,language/nationality, french and latin.,1
1203,Aftonbladet,Swedish,{} is written in," Swedish, and the Swedish language is the official language",Aftonbladet is written in,P407,language/nationality, swedish and has a,1
1204,Kyle Farnsworth,pitcher,{} plays in the position of," the pitcher, and he's a very good one",Kyle Farnsworth plays in the position of the,P413,sports position, pitcher for the,1
1206,My Sister Sam,CBS,{} was originally aired on, CBS in the United States. It was a remake,My Sister Sam was originally aired on,P449,company, cbs from 1,1
1208,Ballers,HBO,{} premieres on, HBO on April 14.<|endoftext|>,Ballers premieres on,P449,company, hbo on june,1
